tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,10,Mikrotrans,JAK.43,Tongtek - Cililitan,94923
2021,10,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,71096
2021,10,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,46177
2021,10,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,41534
2021,10,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,63975
2021,10,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,46304
2021,10,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,59214
2021,10,Mikrotrans,JAK.36,Cilangkap - Cililitan,64162
2021,10,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,32715
2021,10,Mikrotrans,JAK.34,Rawamangun - Klender,69978
2021,10,Mikrotrans,JAK.33,Pulo Gadung - Kota,51615
2021,10,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,79962
2021,10,Mikrotrans,JAK.31,Blok M - Andara,60715
2021,10,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,133054
2021,10,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,117647
2021,10,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,62587
2021,10,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,51771
2021,10,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,43232
2021,10,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,49474
2021,10,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,80125
2021,10,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,20483
2021,10,Mikrotrans,JAK.21,Cililitan - Dwikora,73032
2021,10,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,53380
2021,10,Mikrotrans,"JAK,19",Pinang Ranti - Kampung Rambutan,99743
2021,10,Mikrotrans,JAK.18,Kalibata - Kuningan,36622
2021,10,Mikrotrans,JAK.17,Senen - Pulo Gadung ,51089
2021,10,Mikrotrans,JAK.16,Cililitan - Condet via Kayu Manis,83100
2021,10,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,120526
2021,10,Mikrotrans,JAK.14,Tanah Abang - Meruya,91917
2021,10,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,18200
2021,10,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,69299
2021,10,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,93413
2021,10,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,73467
2021,10,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama ,78213
2021,10,Mikrotrans,JAK.10,Tanah Abang - Kota ,49482
2021,10,Mikrotrans,JAK.09,Roxy Mas - Karet,28495
2021,10,Mikrotrans,JAK.08,Roxy - Benhil,41236
2021,10,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,56372
2021,10,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,64505
2021,10,Mikrotrans,JAK.05,Semper - Rorotan,65429
2021,10,Mikrotrans,JAK.04,Grogol - Tubagus Angke,50863
2021,10,Mikrotrans,JAK.03,Lebak Bulus - Andara,37131
2021,10,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,48317
2021,10,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,65293
2021,10,BRT,9,Pinang Ranti - Pluit,670052
2021,10,BRT,8,Lebak Bulus - Harmoni,442361
2021,10,BRT,7,Kampung Rambutan - Kampung Melayu,376261
2021,10,BRT,6,Ragunan - Dukuh Atas 2,348321
2021,10,BRT,5,Kampung Melayu - Ancol,430590
2021,10,BRT,4,Pulo Gadung 2 - Tosari,274326
2021,10,BRT,3,Kalideres - Pasar Baru,466445
2021,10,BRT,2,Pulo Gadung 1 - Harmoni,331229
2021,10,BRT,13,Ciledug - Tendean,307410
2021,10,BRT,12,Penjaringan - Sunter Bouleverd Barat,140853
2021,10,BRT,11,Pulo Gebang - Kampung Melayu,135543
2021,10,BRT,10,Tanjung Priok - PGC 2,369184
2021,10,BRT,1,Blok M - Kota,903783
2021,10,Angkutan Umum Integrasi,9H,Cipedak - Blok M,16256
2021,10,Angkutan Umum Integrasi,9E,Kebayoran Lama - Jelambar,16905
2021,10,Angkutan Umum Integrasi,9D,Pasar Minggu - Tanah Abang,81799
2021,10,Angkutan Umum Integrasi,8K,Batu Sari-Tanah Abang,8122
2021,10,Angkutan Umum Integrasi,8E,Bintaro - Blok M,18112
2021,10,Angkutan Umum Integrasi,8D,Joglo - Blok M,24637
2021,10,Angkutan Umum Integrasi,8C,Kebayoran Lama - Tanah Abang,0
2021,10,Angkutan Umum Integrasi,7P,Pondok Kelapa - BKN,25384
2021,10,Angkutan Umum Integrasi,7D,Pancoran - TMII,20689
2021,10,Angkutan Umum Integrasi,7B,Kampung Rambutan - Blok M,77492
2021,10,Angkutan Umum Integrasi,7A,Kampung Rambutan - Lebak Bulus,80151
2021,10,Angkutan Umum Integrasi,6R,Ragunan - Stasin MRT Fatmawati,0
2021,10,Angkutan Umum Integrasi,6N,Ragunan - Blok M via Kemang,25776
2021,10,Angkutan Umum Integrasi,6M,Stasiun Manggarai - Blok  M,19821
2021,10,Angkutan Umum Integrasi,6H,Senen - Lebak Bulus,18839
2021,10,Angkutan Umum Integrasi,6C,Stasin Tebet - Karet via Patra Kuningan,93175
2021,10,Angkutan Umum Integrasi,5M,Kampung Melayu - Tanah Abang via Cikini,78012
2021,10,Angkutan Umum Integrasi,5F,Kampung Melayu - Tanah Abang,14392
2021,10,Angkutan Umum Integrasi,5B,Stasiun Tebet - Bidara Cina,7245
2021,10,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,34614
2021,10,Angkutan Umum Integrasi,4B,Stasiun Manggarai - UI,33436
2021,10,Angkutan Umum Integrasi,3E ,Sentraland Cengkareng - Puri Kembangan,24133
2021,10,Angkutan Umum Integrasi,1R,Senen - Tanah Abang,12633
2021,10,Angkutan Umum Integrasi,1Q,Rempoa - Blok M,26660
2021,10,Angkutan Umum Integrasi,1P,Senen - Bundaran Senayan,9135
2021,10,Angkutan Umum Integrasi,1N,Tanah Abang - Blok M,12969
2021,10,Angkutan Umum Integrasi,1M,Meruya - Blok M,20501
2021,10,Angkutan Umum Integrasi,1H,Tanah Abang - Stasiun Gondangdia,37638
2021,10,Angkutan Umum Integrasi,1F,Stasiun Palmerah - Bundaran Senayan,0
2021,10,Angkutan Umum Integrasi,1E,Pondok  Labu - Blok M,71245
2021,10,Angkutan Umum Integrasi,1C,Pesanggrahan - Blok M,14984
2021,10,Angkutan Umum Integrasi,1B,Stasiun Palmerah - Tosari,29339
2021,10,Angkutan Umum Integrasi,1A,PIK - Balai Kota,67571
2021,10,Angkutan Umum Integrasi,12B,Pluit - Senen,8148
2021,10,Angkutan Umum Integrasi,11Q,Kampung Melayu - Pulo Gebang via BKT,9781
2021,10,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,54197
2021,10,Angkutan Umum Integrasi,10K,Tanjung Priok - Senen via Taman  BMW,34615
2021,10,Angkutan Umum Integrasi,GR4,Taman Kota Intan - Museum Bahari,22
2021,10,Angkutan Umum Integrasi,GR5,Kota Tua Explorer,21
2021,8,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,20245
2021,8,Mikrotrans,JAK.85,Bintara - Cipinang Indah,19989
2021,8,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,33638
2021,8,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,46653
2021,8,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,47157
2021,8,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,34670
2021,8,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,27982
2021,8,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,50707
2021,8,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,64823
2021,8,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,48103
2021,8,Mikrotrans,JAK.64,Lenteng Agung - Aseli,35068
2021,8,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,20802
2021,8,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,44923
2021,8,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,43369
2021,8,Mikrotrans,JAK.58,Cilingcing - Rorotan,62761
2021,8,Mikrotrans,JAK.56,Grogol - Srengseng,33731
2021,8,Mikrotrans,JAK.54,Grogol - Benhil,30485
2021,8,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,28991
2021,8,Mikrotrans,JAK.52,Kalideres - Muara Angke,51132
2021,8,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,75413
2021,8,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,45605
2021,8,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,29621
2021,8,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,30006
2021,8,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,55148
2021,8,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,32335
2021,8,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,46374
2021,8,Mikrotrans,JAK.43,Tongtek - Cililitan,58213
2021,8,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,47589
2021,8,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,32666
2021,8,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,22353
2021,8,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,43139
2021,8,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,33889
2021,8,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,37567
2021,8,Mikrotrans,JAK.36,Cilangkap - Cililitan,46615
2021,8,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,22681
2021,8,Mikrotrans,JAK.34,Rawamangun - Klender,46147
2021,8,Mikrotrans,JAK.33,Pulo Gadung - Kota,36510
2021,8,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,52495
2021,8,Mikrotrans,JAK.31,Blok M - Andara,42042
2021,8,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,98364
2021,8,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,76445
2021,8,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,43060
2021,8,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,26092
2021,8,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,27039
2021,8,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,36277
2021,8,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,49233
2021,8,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,13571
2021,8,Mikrotrans,JAK.21,Cililitan - Dwikora,50101
2021,8,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,38834
2021,8,Mikrotrans,"JAK,19",Pinang Ranti - Kampung Rambutan,72845
2021,8,Mikrotrans,JAK.18,Kalibata - Kuningan,21168
2021,8,Mikrotrans,JAK.17,Senen - Pulo Gadung ,31113
2021,8,Mikrotrans,JAK.16,Cililitan - Condet via Kayu Manis,48505
2021,8,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,81655
2021,8,Mikrotrans,JAK.14,Tanah Abang - Meruya,51129
2021,8,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,13403
2021,8,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,48687
2021,8,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,60534
2021,8,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,37541
2021,8,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama ,53707
2021,8,Mikrotrans,JAK.10,Tanah Abang - Kota ,36689
2021,8,Mikrotrans,JAK.09,Roxy Mas - Karet,17927
2021,8,Mikrotrans,JAK.08,Roxy - Benhil,27251
2021,8,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,34491
2021,8,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,45647
2021,8,Mikrotrans,JAK.05,Semper - Rorotan,43302
2021,8,Mikrotrans,JAK.04,Grogol - Tubagus Angke,37882
2021,8,Mikrotrans,JAK.03,Lebak Bulus - Andara,24756
2021,8,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,31289
2021,8,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,46703
2021,8,BRT,9,Pinang Ranti - Pluit,399358
2021,8,BRT,8,Lebak Bulus - Harmoni,248009
2021,8,BRT,7,Kampung Rambutan - Kampung Melayu,211537
2021,8,BRT,6,Ragunan - Dukuh Atas 2,194549
2021,8,BRT,5,Kampung Melayu - Ancol,228704
2021,8,BRT,4,Pulo Gadung 2 - Tosari,147131
2021,8,BRT,3,Kalideres - Pasar Baru,263067
2021,8,BRT,2,Pulo Gadung 1 - Harmoni,182122
2021,8,BRT,13,Ciledug - Tendean,160187
2021,8,BRT,12,Penjaringan - Sunter Bouleverd Barat,80348
2021,8,BRT,11,Pulo Gebang - Kampung Melayu,74753
2021,8,BRT,10,Tanjung Priok - PGC 2,213453
2021,8,BRT,1,Blok M - Kota,462959
2021,8,Angkutan Umum Integrasi,9H,Cipedak - Blok M,11808
2021,8,Angkutan Umum Integrasi,9E,Kebayoran Lama - Jelambar,10317
2021,8,Angkutan Umum Integrasi,9D,Pasar Minggu - Tanah Abang,57029
2021,8,Angkutan Umum Integrasi,8K,Batu Sari-Tanah Abang,5714
2021,8,Angkutan Umum Integrasi,8E,Bintaro - Blok M,12951
2021,8,Angkutan Umum Integrasi,8D,Joglo - Blok M,16723
2021,8,Angkutan Umum Integrasi,8C,Kebayoran Lama - Tanah Abang,0
2021,8,Angkutan Umum Integrasi,7P,Pondok Kelapa - BKN,16352
2021,8,Angkutan Umum Integrasi,7D,Pancoran - TMII,11908
2021,8,Angkutan Umum Integrasi,7B,Kampung Rambutan - Blok M,46807
2021,8,Angkutan Umum Integrasi,7A,Kampung Rambutan - Lebak Bulus,46292
2021,8,Angkutan Umum Integrasi,6R,Ragunan - Stasin MRT Fatmawati,0
2021,8,Angkutan Umum Integrasi,6N,Ragunan - Blok M via Kemang,16390
2021,8,Angkutan Umum Integrasi,6M,Stasiun Manggarai - Blok  M,13300
2021,8,Angkutan Umum Integrasi,6H,Senen - Lebak Bulus,11982
2021,8,Angkutan Umum Integrasi,6C,Stasin Tebet - Karet via Patra Kuningan,48241
2021,8,Angkutan Umum Integrasi,5M,Kampung Melayu - Tanah Abang via Cikini,53175
2021,8,Angkutan Umum Integrasi,5F,Kampung Melayu - Tanah Abang,9152
2021,8,Angkutan Umum Integrasi,5B,Stasiun Tebet - Bidara Cina,3862
2021,8,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,22307
2021,8,Angkutan Umum Integrasi,4B,Stasiun Manggarai - UI,18891
2021,8,Angkutan Umum Integrasi,3E,Sentraland Cengkareng - Puri Kembangan,16416
2021,8,Angkutan Umum Integrasi,1R,Senen - Tanah Abang,7866
2021,8,Angkutan Umum Integrasi,1Q,Rempoa - Blok M,18185
2021,8,Angkutan Umum Integrasi,1P,Senen - Bundaran Senayan,5409
2021,8,Angkutan Umum Integrasi,1N,Tanah Abang - Blok M,7796
2021,8,Angkutan Umum Integrasi,1M,Meruya - Blok M,15888
2021,8,Angkutan Umum Integrasi,1H,Tanah Abang - Stasiun Gondangdia,22581
2021,8,Angkutan Umum Integrasi,1F,Stasiun Palmerah - Bundaran Senayan,51375
2021,8,Angkutan Umum Integrasi,1E,Pondok  Labu - Blok M,11069
2021,8,Angkutan Umum Integrasi,1C,Pesanggrahan - Blok M,16271
2021,8,Angkutan Umum Integrasi,1B,Stasiun Palmerah - Tosari,0
2021,8,Angkutan Umum Integrasi,1A ,PIK - Balai Kota,35608
2021,8,Angkutan Umum Integrasi,12B,Pluit - Senen,5602
2021,8,Angkutan Umum Integrasi,11Q,Kampung Melayu - Pulo Gebang via BKT,7829
2021,8,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,40578
2021,8,Angkutan Umum Integrasi,10K,Tanjung Priok - Senen via Taman  BMW,29478
2021,8,Angkutan Umum Integrasi,GR4,Taman Kota Intan - Museum Bahari,14
2021,8,Angkutan Umum Integrasi,GR5,Kota Tua Explorer,8
2021,3,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,29550
2021,3,Mikrotrans,JAK.85,Bintara - Cipinang Indah,29905
2021,3,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,38674
2021,3,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,63082
2021,3,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,67739
2021,3,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,53047
2021,3,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,42207
2021,3,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,78340
2021,3,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,91806
2021,3,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,68156
2021,3,Mikrotrans,JAK.64,Lenteng Agung - Aseli,46819
2021,3,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,41360
2021,3,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,77402
2021,3,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,100686
2021,3,Mikrotrans,JAK.58,Cilingcing - Rorotan,97206
2021,3,Mikrotrans,JAK.56,Grogol - Srengseng,53886
2021,3,Mikrotrans,JAK.54,Grogol - Benhil,32490
2021,3,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,28325
2021,3,Mikrotrans,JAK.52,Kalideres - Muara Angke,59280
2021,3,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,113243
2021,3,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,67363
2021,3,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,43954
2021,3,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,52411
2021,3,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,77915
2021,3,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,57681
2021,3,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,65591
2021,3,Mikrotrans,JAK.43,Tongtek - Cililitan,89649
2021,3,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,64890
2021,3,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,29450
2021,3,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,46228
2021,3,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,65972
2021,3,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,50005
2021,3,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,62773
2021,3,Mikrotrans,JAK.36,Cilangkap - Cililitan,101015
2021,3,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,35034
2021,3,Mikrotrans,JAK.34,Rawamangun - Klender,80563
2021,3,Mikrotrans,JAK.33,Pulo Gadung - Kota,54740
2021,3,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,94096
2021,3,Mikrotrans,JAK.31,Blok M - Andara,66327
2021,3,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,148435
2021,3,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,118492
2021,3,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,70303
2021,3,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,52236
2021,3,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,43700
2021,3,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,62854
2021,3,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,78082
2021,3,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,29951
2021,3,Mikrotrans,JAK.21,Cililitan - Dwikora,62627
2021,3,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,68562
2021,3,Mikrotrans,"JAK,19",Pinang Ranti - Kampung Rambutan,121838
2021,3,Mikrotrans,JAK.18,Kalibata - Kuningan,37386
2021,3,Mikrotrans,JAK.17,Senen - Pulo Gadung ,38648
2021,3,Mikrotrans,JAK.16,Cililitan - Condet via Kayu Manis,76307
2021,3,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,133740
2021,3,Mikrotrans,JAK.14,Tanah Abang - Meruya,88861
2021,3,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,15585
2021,3,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,67389
2021,3,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,83110
2021,3,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,52125
2021,3,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama ,73946
2021,3,Mikrotrans,JAK.10B,Gondangdia - Cikini via Kramat Raya,2828
2021,3,Mikrotrans,JAK.10A,Gondangdia - Cikini via Salemba Raya,16781
2021,3,Mikrotrans,JAK.10,Tanah Abang - Kota ,51063
2021,3,Mikrotrans,JAK.09,Roxy Mas - Karet,25584
2021,3,Mikrotrans,JAK.08,Roxy - Benhil,29530
2021,3,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,46342
2021,3,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,82814
2021,3,Mikrotrans,JAK.05,Semper - Rorotan,75218
2021,3,Mikrotrans,JAK.04,Grogol - Tubagus Angke,52690
2021,3,Mikrotrans,JAK.03,Lebak Bulus - Andara,36614
2021,3,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,52302
2021,3,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,67629
2021,3,BRT,9,Pinang Ranti - Pluit,756064
2021,3,BRT,8,Lebak Bulus - Harmoni,508851
2021,3,BRT,7,Kampung Rambutan - Kampung Melayu,453819
2021,3,BRT,6,Ragunan - Dukuh Atas 2,405083
2021,3,BRT,5,Kampung Melayu - Ancol,494769
2021,3,BRT,4,Pulo Gadung 2 - Tosari,277604
2021,3,BRT,3,Kalideres - Pasar Baru,534617
2021,3,BRT,2,Pulo Gadung 1 - Harmoni,412664
2021,3,BRT,13,Ciledug - Tendean,334450
2021,3,BRT,12,Penjaringan - Sunter Bouleverd Barat,164012
2021,3,BRT,11,Pulo Gebang - Kampung Melayu,166555
2021,3,BRT,10,Tanjung Priok - PGC 2,427032
2021,3,BRT,1,Blok M - Kota,1013221
2021,3,Angkutan Umum Integrasi,9H,Cipedak - Blok M,12674
2021,3,Angkutan Umum Integrasi,9E,Kebayoran Lama - Jelambar,13245
2021,3,Angkutan Umum Integrasi,9D,Pasar Minggu - Tanah Abang,74555
2021,3,Angkutan Umum Integrasi,8K,Batu Sari-Tanah Abang,8570
2021,3,Angkutan Umum Integrasi,8E,Bintaro - Blok M,19297
2021,3,Angkutan Umum Integrasi,8D,Joglo - Blok M,34009
2021,3,Angkutan Umum Integrasi,8C,Kebayoran Lama - Tanah Abang,18192
2021,3,Angkutan Umum Integrasi,7P,Pondok Kelapa - BKN,24723
2021,3,Angkutan Umum Integrasi,7D,Pancoran - TMII,23286
2021,3,Angkutan Umum Integrasi,7B,Kampung Rambutan - Blok M,82559
2021,3,Angkutan Umum Integrasi,7A,Kampung Rambutan - Lebak Bulus,49219
2021,3,Angkutan Umum Integrasi,6R,Ragunan - Stasin MRT Fatmawati,2157
2021,3,Angkutan Umum Integrasi,6N,Ragunan - Blok M via Kemang,13318
2021,3,Angkutan Umum Integrasi,6M,Stasiun Manggarai - Blok  M,24251
2021,3,Angkutan Umum Integrasi,6H,Senen - Lebak Bulus,18468
2021,3,Angkutan Umum Integrasi,6C,Stasin Tebet - Karet via Patra Kuningan,93959
2021,3,Angkutan Umum Integrasi,5M,Kampung Melayu - Tanah Abang via Cikini,79666
2021,3,Angkutan Umum Integrasi,5F,Kampung Melayu - Tanah Abang,19217
2021,3,Angkutan Umum Integrasi,5B,Stasiun Tebet - Bidara Cina,8638
2021,3,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,41635
2021,3,Angkutan Umum Integrasi,4B,Stasiun Manggarai - UI,40301
2021,3,Angkutan Umum Integrasi,3E,Puri Kembangan - Sentraland Cengkareng,23513
2021,3,Angkutan Umum Integrasi,2Q,Gondangdia - Balai Kota,8440
2021,3,Angkutan Umum Integrasi,2P,Gondangdia - Senen,6130
2021,3,Angkutan Umum Integrasi,1R,Senen - Tanah Abang,15225
2021,3,Angkutan Umum Integrasi,1Q,Rempoa - Blok M,27200
2021,3,Angkutan Umum Integrasi,1P,Senen - Bundaran Senayan,8456
2021,3,Angkutan Umum Integrasi,1N,Tanah Abang - Blok M,9235
2021,3,Angkutan Umum Integrasi,1M,Meruya - Blok M,25278
2021,3,Angkutan Umum Integrasi,1H,Tanah Abang - Stasiun Gondangdia,38768
2021,3,Angkutan Umum Integrasi,1F,Stasiun Palmerah - Bundaran Senayan,8308
2021,3,Angkutan Umum Integrasi,1E,Pondok  Labu - Blok M,68895
2021,3,Angkutan Umum Integrasi,1C,Pesanggrahan - Blok M,14794
2021,3,Angkutan Umum Integrasi,1B,Stasiun Palmerah - Tosari,20906
